Node,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Genres,Genres_cond
"('Everything Is Alright', 'Four Tet')",0.609,0.857,5,-8.729,0,0.036,0.133,0.699,0.151,0.961,119.987,"electronica, folktronica, indietronica, intelligent dance music, trip hop",edm
"(""Can't Get Enough Of Your Love Babe"", 'Barry White')",0.729,0.78,5,-7.604,1,0.0631,0.114,0.106,0.0759,0.795,111.833,"disco, quiet storm, soul",r&b
"('Cochise', 'Audioslave')",0.452,0.873,9,-4.867,1,0.0613,0.000519,0.0,0.0592,0.433,80.473,"alternative metal, alternative rock, grunge, hard rock, nu metal, permanent wave, post-grunge, rock, supergroup",rock
"('Slow Down Baby', 'Christina Aguilera')",0.723,0.778,6,-3.867,1,0.0444,0.0292,0.000897,0.0518,0.58,96.459,"dance pop, pop",pop
"('Check It Out', 'Super Furry Animals')",0.783,0.357,10,-23.0,0,0.15,0.607,0.586,0.547,0.839,112.875,"britpop, welsh indie, welsh rock",pop
"('Rezo', 'Carlos Ponce')",0.564,0.859,7,-5.898,1,0.0423,0.236,9.38e-06,0.116,0.336,147.836,"latin pop, puerto rican pop",latin
"('Roly Poly', 'T-ara')",0.832,0.848,7,-7.407,1,0.0545,0.0919,2.83e-05,0.0458,0.901,130.004,"k-pop, k-pop girl group",k-pop
"('Let Yourself Go', 'Green Day')",0.627,0.971,2,-3.017,1,0.0376,0.00376,4.11e-05,0.246,0.605,101.0,"modern rock, permanent wave, punk, rock",rock
"('Charlie Darwin', 'The Low Anthem')",0.273,0.138,0,-11.734,1,0.0313,0.701,0.0,0.0942,0.106,83.381,"chamber folk, folktronica, indie folk, new americana, rhode island indie, stomp and holler",other
"('Keep On Loving You', 'REO Speedwagon')",0.306,0.722,0,-5.963,1,0.034,0.0519,0.0,0.117,0.41,174.732,"album rock, classic rock, glam metal, hard rock, mellow gold, rock, soft rock",rock
"('Baby Baby', 'Amy Grant')",0.702,0.901,1,-4.45,1,0.0264,0.426,0.00153,0.0368,0.919,97.862,christian music,other
"('One More Night', 'Maroon 5')",0.718,0.82,5,-3.453,0,0.0323,0.0444,0.0,0.0846,0.613,92.998,pop,pop
"('Heart of Stone', 'Cher')",0.391,0.647,0,-10.882,1,0.0396,0.27,0.0,0.112,0.553,204.411,"dance pop, pop",pop
"('Putting Holes In Happiness', 'Marilyn Manson')",0.335,0.721,2,-4.981,1,0.0383,3.47e-05,0.0058,0.351,0.407,141.827,"alternative metal, hard rock, industrial, industrial metal, industrial rock, nu metal, post-grunge, rock",rock
"(""We Can't Stop"", 'Miley Cyrus')",0.613,0.622,1,-5.794,0,0.0334,0.00882,0.0,0.37,0.484,80.003,pop,pop
"('Try It Out', 'Skrillex')",0.423,0.943,0,-2.808,1,0.498,0.0227,0.0,0.0798,0.165,139.48,"brostep, complextro, edm, electro, pop dance",edm
"('SOS', 'Rihanna')",0.677,0.671,7,-4.905,1,0.0361,0.004,5.07e-05,0.413,0.527,137.046,"barbadian pop, pop, urban contemporary",pop
"('D.A.N.C.E', 'Justice')",0.613,0.962,6,-5.07,0,0.278,0.034,0.0,0.824,0.496,113.015,"alternative dance, dance-punk, electronica, filter house, indietronica, new rave",edm
"('Antichrist Superstar', 'Marilyn Manson')",0.384,0.833,11,-9.797,0,0.0779,0.000777,0.00489,0.18,0.357,172.015,"alternative metal, hard rock, industrial, industrial metal, industrial rock, nu metal, post-grunge, rock",rock
"('Sweet Dreams', 'Marilyn Manson')",0.392,0.642,8,-5.267,1,0.0326,0.0048,0.486,0.296,0.129,92.698,"alternative metal, hard rock, industrial, industrial metal, industrial rock, nu metal, post-grunge, rock",rock
"('Let There Be Love', 'Christina Aguilera')",0.543,0.899,7,-1.589,0,0.16,0.0219,4.88e-05,0.259,0.441,127.991,"dance pop, pop",pop
"('Bossy', 'Lindsay Lohan')",0.721,0.809,9,-5.18,0,0.0514,0.0451,0.0,0.079,0.611,123.025,"dance pop, post-teen pop",pop
"('Halo', nan)",0.76,0.72,10,-7.771,0,0.042,0.107,0.0403,0.305,0.343,122.05,covertronica,other
"('Like You', 'Daddy Yankee')",0.805,0.7,5,-6.602,0,0.0717,0.0998,0.0,0.286,0.777,94.974,"latin hip hop, reggaeton, trap latino, urbano latino",latin
"('Adore You', 'Miley Cyrus')",0.583,0.655,0,-5.407,1,0.0315,0.111,3.57e-06,0.113,0.201,119.759,pop,pop
"('Shout', 'Tears For Fears')",0.511,0.942,0,-10.407,1,0.0429,0.174,1.87e-05,0.139,0.498,97.909,"new romantic, new wave, new wave pop, permanent wave, rock, sophisti-pop, synthpop",pop
"('Mary', 'All')",0.308,0.113,9,-13.282,0,0.0317,0.956,0.59,0.227,0.257,179.641,pop violin,pop
"('Catch My Breath', 'Kelly Clarkson')",0.692,0.908,9,-5.364,1,0.0677,0.0251,0.0,0.0933,0.513,124.042,"dance pop, pop, talent show",pop
"('Ride of the Valkyries', 'Richard Wagner')",0.234,0.227,11,-18.535,1,0.0373,0.944,0.869,0.0854,0.0703,101.636,"classical, german opera, german romanticism, late romantic era",classical
"('Ribs', 'Lorde')",0.525,0.472,4,-9.277,1,0.0739,0.534,0.614,0.11,0.0424,127.945,"art pop, metropopolis, nz pop, pop",pop
"('Y Si Te Digo', 'Fanny Lu')",0.571,0.722,9,-5.726,1,0.0944,0.57,0.0,0.0657,0.807,107.745,"colombian pop, latin pop, reggaeton",latin
"('Free To Fall', 'Debbie Harry')",0.614,0.476,1,-13.301,0,0.0269,0.23,0.000147,0.0808,0.501,107.265,new wave pop,pop
"('Si No Te Hubiera Conocido', 'Christina Aguilera')",0.487,0.558,5,-5.604,1,0.0275,0.694,0.0,0.131,0.321,81.938,"dance pop, pop",pop
"('Love Machine', 'Girls Aloud')",0.663,0.95,7,-4.21,1,0.0619,0.00126,0.0049,0.0753,0.698,116.015,"europop, girl group, talent show",pop
"('Bar Bar Bar', 'Crayon Pop')",0.931,0.818,2,-2.964,1,0.0445,0.0131,0.697,0.0765,0.856,134.015,"k-pop, k-pop girl group",k-pop
"('Myage', 'Descendents')",0.463,0.889,1,-10.384,1,0.0652,0.000322,8.37e-05,0.123,0.503,98.264,"hardcore punk, punk, skate punk",other
"('Baila Esta Cumbia', 'Selena')",0.711,0.801,0,-4.58,1,0.125,0.517,8.37e-06,0.0987,0.78,182.917,"mexican pop, tejano",latin
"(""It's All Over Now Baby Blue"", 'Bob Dylan')",0.698,0.197,4,-14.792,1,0.0383,0.655,0.0,0.0716,0.361,122.864,"classic rock, country rock, folk, folk rock, rock, roots rock, singer-songwriter",rock
"(""We're From America"", 'Marilyn Manson')",0.473,0.936,6,-5.967,1,0.0647,0.00276,0.0256,0.107,0.639,162.066,"alternative metal, hard rock, industrial, industrial metal, industrial rock, nu metal, post-grunge, rock",rock
"('Starships', 'Nicki Minaj')",0.747,0.716,11,-2.457,0,0.0751,0.135,0.0,0.251,0.751,125.006,"hip pop, pop, queens hip hop, rap",pop
"(""History's Stranglers"", 'The Bronx')",0.394,0.991,11,-3.351,0,0.0716,3.93e-05,0.00125,0.0563,0.834,97.93,,other
"(""Just Like Tom Thumb's Blues"", 'Bob Dylan')",0.497,0.511,7,-8.318,1,0.0271,0.702,0.0,0.262,0.591,99.5,"classic rock, country rock, folk, folk rock, rock, roots rock, singer-songwriter",rock
"('Simpleng Tulad Mo', 'Daniel Padilla')",0.571,0.619,7,-6.961,1,0.0244,0.0613,0.0,0.155,0.468,93.096,opm,other
"('Give Me Everything', 'Pitbull')",0.671,0.939,8,-3.206,1,0.161,0.191,0.0,0.298,0.53,129.024,"dance pop, miami hip hop, pop",pop
"('Rumors', 'Lindsay Lohan')",0.892,0.764,10,-5.668,0,0.0547,0.0186,0.0358,0.332,0.856,115.014,"dance pop, post-teen pop",pop
"('En Remolinos', 'Soda Stereo')",0.361,0.843,4,-7.317,0,0.0463,4.33e-05,0.732,0.102,0.0865,95.923,"argentine rock, latin alternative, latin rock, post-punk argentina, rock en espanol, ska argentino",latin
"('Freak Scene', 'Dinosaur Jr')",0.241,0.94,9,-3.519,1,0.0706,0.00749,0.00266,0.327,0.199,154.133,"alternative rock, lo-fi, noise pop, noise rock, permanent wave, power pop, shoegaze, slacker rock",rock
"('Enchanted', 'Taylor Swift')",0.52,0.553,8,-3.546,1,0.0269,0.016,0.0,0.165,0.227,81.949,pop,pop
"('Enjoy The Ride', 'Morcheeba')",0.552,0.518,5,-10.479,1,0.0265,0.2,0.00938,0.0965,0.45,84.996,"downtempo, electronica, trip hop",edm
"('Lovebug', 'Jonas Brothers')",0.597,0.5,4,-6.216,1,0.0579,0.127,0.0,0.214,0.522,79.071,"boy band, pop",pop
"('Kabuki Girl', 'Descendents')",0.54,0.825,1,-8.676,0,0.0643,0.00049,0.0,0.331,0.713,96.946,"hardcore punk, punk, skate punk",other
"('Jaded', 'Aerosmith')",0.518,0.866,9,-4.476,1,0.0509,0.00413,1.93e-05,0.246,0.671,117.983,"album rock, classic rock, hard rock, rock",rock
"('Tango del Pecado', 'Calle 13')",0.764,0.749,4,-6.118,0,0.254,0.34,0.0,0.104,0.813,87.861,"latin afrobeat, latin alternative, latin hip hop, latin rock, puerto rican rock, rap conciencia, reggaeton, rock en espanol",latin
"('Notorious', 'The Saturdays')",0.662,0.847,9,-2.796,0,0.039,0.0695,0.00161,0.0832,0.627,121.056,"dance pop, girl group, post-teen pop, talent show",pop
"('Only Teardrops', 'Emmelie de Forest')",0.586,0.855,0,-4.131,1,0.0583,0.0853,0.0,0.329,0.42,110.986,,other
"('Ghosts', 'Laura Marling')",0.463,0.368,9,-11.546,1,0.048,0.376,0.0,0.149,0.75,141.974,"british folk, british singer-songwriter, chamber pop, singer-songwriter",pop
"(""The '59 Sound"", 'The Gaslight Anthem')",0.423,0.943,10,-3.962,1,0.0941,0.00119,5.08e-06,0.263,0.404,168.024,"heartland rock, new jersey hardcore, new jersey indie, new jersey punk",rock
"('Back to Black', 'Amy Winehouse')",0.434,0.422,7,-13.964,0,0.0375,0.134,2.05e-05,0.0861,0.377,123.201,"british soul, neo soul",r&b
"('You Will Be A Hot Dancer', 'Incubus')",0.722,0.912,9,-5.785,1,0.136,0.0303,0.000457,0.91,0.637,109.995,"alternative metal, alternative rock, funk metal, funk rock, modern rock, nu metal, post-grunge, rock",rock
"(""Touch Me I'm Sick"", 'Mudhoney')",0.354,0.941,1,-6.984,1,0.0737,4.79e-05,0.66,0.331,0.569,131.442,"alternative rock, grunge, punk",rock
"('Angels on the Moon', 'Thriving Ivory')",0.441,0.8,10,-3.268,1,0.0365,0.267,0.0,0.101,0.204,151.011,piano rock,rock
"('Sex', 'The 1975')",0.404,0.971,2,-4.159,1,0.104,1.35e-05,2.22e-05,0.488,0.186,148.34,"modern alternative rock, modern rock, pop, pov: indie, rock",rock
"('Gimme! Gimme! Gimme!', 'ABBA')",0.749,0.491,10,-9.655,1,0.0403,0.02,0.00899,0.159,0.536,119.528,"europop, swedish pop",pop
"('California King Bed', 'Rihanna')",0.452,0.571,7,-3.992,1,0.036,0.249,0.0,0.114,0.326,169.884,"barbadian pop, pop, urban contemporary",pop
"('Happiness', 'Alexis Jordan')",0.711,0.748,8,-7.318,1,0.131,0.133,0.0,0.461,0.489,127.99,talent show,other
"('Anaconda', 'Nicki Minaj')",0.963,0.605,9,-6.239,1,0.176,0.0603,5.63e-05,0.238,0.806,129.993,"hip pop, pop, queens hip hop, rap",pop
"('Let Me Ride', 'Dr. Dre')",0.729,0.929,1,-3.297,1,0.238,0.0759,0.000846,0.303,0.884,92.675,"g funk, gangster rap, hip hop, rap, west coast rap",rap
